PID,location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,StateWide,SWGeo,SWPop,DateIssued,DateEnacted,DateExpiry,DateEnded,Extends,Expands,Eases,Ends,Depends,PolicyCodingNotes,PolicySource,PolicySourceID,LastUpdated,LastUpdatedNotes,UpdatingSource1,UpdatingSource2
AL0001,523,1,AL,Alabama,EmergDec,1,1,1,1,20200313,20200313,,,,,,,,Public Health Emergency declared. No clear expiry provided.,https://governor.alabama.gov/assets/2020/03/2020-03-13-Initial-COVID-19-SOE.pdf,Alabama0001,20200324,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0002,523,1,AL,Alabama,SchoolClose,1,1,1,1,20200313,20200319,20200406,,,,,,,"Issued orally on 20200313, this requires the closure of all K-12 public schools at the end of day 20200318 (coded to 20200319 when enacted), with re-opening on 20200406",https://governor.alabama.gov/assets/2020/03/2020-03-18-1st-Supplemental-COVID-19-SOE.pdf,Alabama0002,20200430,"Updated DateIssued to 20200313, DateEnacted to 20200319, DateExpiry to 20200406",https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0012,523,1,AL,Alabama,GathRestrict25,1,0,0,1,20200317,20200317,,,,,,,,"Public health order for prohibiting gathering restrictions of 25 or more in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,Alabama0004,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0013,523,1,AL,Alabama,GathRestrictAny,1,0,0,1,20200317,20200317,,,,,,,,"Public health order for prohibiting gathering restrictions of 25 or more in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,Alabama0004,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0015,523,1,AL,Alabama,RestaurantRestrict,1,0,0,1,20200317,20200317,20200324,,,,,,,"Public health order prohibits on-premises consumption of food or drink in restaurants, bars, and breweries for one week at 20200317, but take-out and delivery permitted. Only applicable in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties ",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,Alabama0004,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0014,523,1,AL,Alabama,SchoolClose,1,0,0,1,20200317,20200319,20200406,,,,,,,"Public health order closes all private schools K-12 in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,Alabama0004,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0003,523,1,AL,Alabama,GathRestrict25,1,1,1,1,20200319,20200319,,,,AL0012,,,,Extends public health order (PID AL0012) to being statewide,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,Alabama0005,20200430,Updated DateEnacted to 20200319,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0004,523,1,AL,Alabama,GathRestrictAny,1,1,1,1,20200319,20200319,,,,AL0013,,,,Extends public health order (PID AL0013) to being statewide,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,Alabama0005,20200430,Updated DateEnacted to 20200319,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0005,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200319,20200319,,,,,,,,Closes all publicly and privately own beaches and beach access points,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,Alabama0005,20200430,Updated DateEnacted to 20200319,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0006,523,1,AL,Alabama,RestaurantRestrict,1,1,1,1,20200319,20200319,,,,AL0015,,,,"No on-premises consumption of food or drink permitted in restaurants, bars, and breweries. Take-out, delivery, curbside pickup all permitted if social distancing protocols are followed",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,Alabama0005,20200430,Updated DateEnacted to 20200319,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0016,523,1,AL,Alabama,SchoolClose,1,1,1,1,20200319,20200320,,,,AL0002,,,,"Effective at the end of school on March 19, all public and private schools (elementary, secondary, postsecondary, technical, colleges and universities)",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,Alabama0005,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0008,523,1,AL,Alabama,GathRestrict10,1,1,1,1,20200327,20200328,20200417,,,AL0003,,,,Expands restriction gathering to 10 or more people being prohibited,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,Alabama0006,20200412,Added expiry date,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0017,523,1,AL,Alabama,GathRestrictAny,1,1,1,1,20200327,20200328,20200417,,,AL0004,,,,Extends any restriction gatherings ,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,Alabama0006,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0009,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200327,20200328,20200417,,,,,,,"Non-essential business categories closed included entertainment venues, retail stores, personal care services, and athletic faciltiies. Not considered full NEBusinessClose yet due to only listing of additional types of businesses to close.",https://www.alabamapublichealth.gov/news/2020/03/27.html,Alabama0006,20200331,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0018,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200327,20200328,20200417,,AL0005,,,,,Extends beach closures,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,Alabama0006,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0025,523,1,AL,Alabama,RestaurantRestrict,1,1,1,1,20200327,20200328,20200417,,AL0006,,,,,Extends restaurant restrictions,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,Alabama0006,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0037,523,1,AL,Alabama,BusinessHealthSafety,1,1,1,1,20200403,20200404,20200430,,,,,,,"For retailers, the following additional business health safety rules shall be complied with: no more than 50 percent occupancy rate, social distancing (at least 6 ft apart between employees and patrons), sanitation protocols. Encourages curbside pickup, delivery, other modes of delivery",https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0024,523,1,AL,Alabama,CaseIsolation,1,1,1,1,20200403,20200404,20200430,,,,,,,"Anyone who tests positive for COVID-19 shall be quarantined in their place of residence for a period of 14 days, or other period of time as directed by the State Health Officer, after receiving positive results",https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0019,523,1,AL,Alabama,GathRestrict10,1,1,1,1,20200403,20200404,20200430,,AL0008,,,,,Extends restriction gathering to 10 or more people being prohibited,https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0020,523,1,AL,Alabama,GathRestrictAny,1,1,1,1,20200403,20200404,20200430,,AL0017,,,,,Extends any restriction gatherings ,https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0021,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200403,20200404,20200430,,AL0009,,,,,"Extends closure of non-essential business categories: entertainment venues, retail stores, personal care services, and athletic faciltiies",https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0022,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200403,20200404,20200430,,AL0018,,,,,Extends beach closures,https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0026,523,1,AL,Alabama,RestaurantRestrict,1,1,1,1,20200403,20200404,20200430,,AL0025,,,,,Extends restaurant restrictions,https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0023,523,1,AL,Alabama,SchoolClose,1,1,1,1,20200403,20200404,,,AL0016,,,,,"Extends closure of all schools' in-person instruction (private and public), elementary, secondary, postsecondary, technical or specialty, colleges and universities",https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0035,523,1,AL,Alabama,SchoolClose,1,1,1,1,20200403,20200404,,,AL0023,,,,,"Extends closure of all schools' in-person instruction (private and public), elementary, secondary, postsecondary, technical or specialty, colleges and universities",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0010,523,1,AL,Alabama,StayAtHome,1,1,1,1,20200403,20200404,20200430,20200430,,,,,,Goes into effect at 5 pm on 20200403. Permits religious services as an essential activity.,https://www.alabamapublichealth.gov/legal/assets/soe-covid19-040320.pdf,Alabama0007,20200403,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0031,523,1,AL,Alabama,BusinessHealthSafety,1,1,1,1,20200428,20200430,20200515,,AL0037,AL0037,,,,"Expands broader health safety rules for employees and customers (i.e., avoiding gatherings of 10 or more people, ensuring 6 ft separation between people, regular disinfecting of frequency used items and surfaces), and extends the retail safety rules ",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0028,523,1,AL,Alabama,CaseIsolation,1,1,1,1,20200428,20200430,20200515,,AL0024,,,,,Extends CaseIsolation to 5 pm on 20200515,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0029,523,1,AL,Alabama,GathRestrict10,1,1,1,1,20200428,20200430,20200515,,AL0019,,,,,"Extends PID AL0019, as it now only prohibits non-work related gatherings of 10 persons or more. It also now allows (quote) drive-in gatherings (quote) of any size as long as people stay in their vehicles, participants in the same vehicle must share the same household, and do not come within 6 ft of each other. Non-work related gatherings are defined as church services, weddings, funerals, social gatherings, concerts, festivals, sporting events",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0030,523,1,AL,Alabama,GathRestrictAny,1,1,1,1,20200428,20200430,20200515,,AL0020,,,,,Extends any restriction gatherings to 5pm on 20200515,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0032,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200428,20200430,20200515,,,,AL0021,,AL0031,"Allows for in-person services for retail businesses if they are at 50 percent or lower capacity, follow social distancing, and sanitation protocols",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0033,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200428,20200430,20200515,,,,AL0022,,AL0029,"Allows for beaches to open to gatherings of 10 or fewer people, and anyone using beaches as to keep 6 ft distance or more",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0034,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200428,20200430,20200515,,AL0021,,,,,"Extends closure of the following types of non-essential businesses: entertainment venues, athletic facilities and recreational centers, and close-contact service providers)",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0050,523,1,AL,Alabama,PublicMask,0,1,1,1,20200428,20200430,20200515,,,,,,,Encourages people to wear face coverings around people from other households when it is necessary to leave the home,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0036,523,1,AL,Alabama,RestaurantRestrict,1,1,1,1,20200428,20200430,20200515,,AL0026,,,,,Extends restaurant restrictions,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0027,523,1,AL,Alabama,StayAtHome,0,1,1,1,20200428,20200430,,,,,,AL0010,,"Ends formal state at home at 5 pm on 20200430, recommends minimizing travel outside of the home, especially for vulnerable populations, but not mandate",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,Alabama0008,20200430,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0040,523,1,AL,Alabama,CaseIsolation,1,1,1,1,20200508,20200508,20200522,,AL0028,,,,,Extends case isolation mandate to 20200522,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0039,523,1,AL,Alabama,PublicMask,0,1,1,1,20200508,20200508,20200522,,AL0050,,,,,Encourages people to wear face coverings around people from other households when it is necessary to leave the home,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
