location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,StateWide,InGathLim,OutGathLim,InGathLimReligious,OutGathLimReligious,PublicMaskLevel,DateIssued,DateEnacted,DateExpiry,DateEased,DateEnded,DateReexpanded1,DateReeased1,PolicyCodingNotes,PolicySource,LastUpdated,LastUpdatedNotes
523,1,AL,Alabama,EmergDec,1,1,,,,,,20200313,20200313,20201108,,,,,"Public Health Emergency declared. On 20200702, extends public health emergency by an additional 60 days from July 11, so until September 9, 2020: https://governor.alabama.gov/assets/2020/07/2020-07-02-13th-Supplemental-SOE-COVID-19.pdf Extended to 20201108 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/",https://governor.alabama.gov/newsroom/2020/03/third-supplemental-state-of-emergency-coronavirus-covid-19/,20200828,Updated DateExpiry to 20201108 and PolicyCodingNotes
523,1,AL,Alabama,SchoolClose,1,1,,,,,,20200314,20200318,20200831,20200601,20200626,,,In effect 20200318. 20200319 issuance also closed all public/private schools (20200314 is public school only): https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf,http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,20200819,Added DateEnded
523,1,AL,Alabama,GathRestrict,1,0,25,25,25,25,,20200317,20200317,,,,,,"Public health order for prohibiting gathering restrictions of 25 or more in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,20200804,
523,1,AL,Alabama,BarRestrict,1,1,,,,,,20200319,20200319,20201002,20200511,,,,Limited operations required: bars and breweries. In effect at 5 pm on 20200319. Extension to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf. Began easing of restrictions on 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
523,1,AL,Alabama,GathRestrict,1,1,25,25,25,25,,20200319,20200319,,,,,,"In effect as of 5 pm 20200319. On 20200320, amendment was made to clarify that it was all non-work gatherings of 25 or more: http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200803,Updated entry to new gathering system and added numeric variables
523,1,AL,Alabama,OtherBusinessClose,1,1,,,,,,20200319,20200319,20201002,20200430,,,,All beaches close effective at 5 pm 20200319. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
523,1,AL,Alabama,RestaurantRestrict,1,1,,,,,,20200319,20200319,20201002,20200511,,,,Limited operations required: restaurants In effect at 5 pm on 20200319. Extension to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf. Began easing of restrictions on 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
523,1,AL,Alabama,GathRestrict,1,1,10,10,10,10,,20200327,20200328,20200522,20200511,,,,Expands restriction gathering to 10 or more people being prohibited. Eased to any gathering restriction starting 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,20200803,Updated entry to new gathering system and added numeric variables
523,1,AL,Alabama,OtherBusinessClose,1,1,,,,,,20200327,20200328,20201002,20200430,,,,"Non-essential business categories closed included entertainment venues, retail shops, personal care services, and athletic faciltiies. Not considered full NEBusinessClose yet due to only listing of additional types of businsess to close. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/",https://www.alabamapublichealth.gov/news/2020/03/27.html,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
523,1,AL,Alabama,CaseIsolation,1,1,,,,,,20200403,20200404,20201002,,,,,"Anyone who tests positive for COVID-19 shall be quarantined in their place of residence for a period of 14 days, or other period of time as directed by the State Health Officer, after receiving positive results. Extended to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
523,1,AL,Alabama,StayAtHome,1,1,,,,,,20200403,20200404,20200430,,20200430,,,Goes into effect at 5 pm on 20200403. The 20200428 order ended the stay-at-home https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,http://www.alabamapublichealth.gov/legal/assets/soe-covid19-stamped-040320.pdf,20200501,Added DateEnded of 20200430
523,1,AL,Alabama,PublicMask,0,1,,,,,,20200428,20200430,20200731,,,,,Recommendation from the Gov in the Safer At Home order. ,http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,20200701,Updated DateExpiry to 20200731
523,1,AL,Alabama,StayAtHome,0,1,,,,,,20200428,20200430,20201002,,,,,"Continues recommendation for all individuals, especially vulnerable persons, to minimize travel outside the home. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
523,1,AL,Alabama,GathRestrict,1,1,,,,,,20200508,20200511,20201002,,,,,Eases restrictions prohibiting specific gathering sizes (requires physical distancing of 6 ft). Extended to 20200831: https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
523,1,AL,Alabama,PublicMask,1,1,,,,,Mandate2,20200715,20200716,20201002,,,,,"Mandates that all Alabamans wear a mask when in an indoor space open to the general public, a vehicle operated by a transportation service, or an outdoor public space where ten or more people are gathered. Exceptions for people under six or who are medically unable to wear a mask. Coded as Mandate2 because although masks are required in both indoor and outdoor spaces, the parameters on the spaces involved are relatively narrow (for instance, masks are only required in outdoor spaces if ten or more people are present). Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/",https://governor.alabama.gov/assets/2020/07/Safer-at-Home-Order-Mask-Amendment-7.15.2020-FINAL.pdf,20200828,Updated DateExpiry to 20201002 and PolicyCodingNotes
524,2,AK,Alaska,EmergDec,1,1,,,,,,20200311,20200311,,,,,,Public Health Emergency,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Disaster-Packet.pdf,20200324,
524,2,AK,Alaska,SchoolClose,1,1,,,,,,20200313,20200316,,,20200727,,,"First issuance is schools staying closed until March 30 (i.e., extending spring break), issued 20200313 https://www.alaskapublic.org/2020/03/13/governor-says-all-k-12-students-in-alaska-to-attend-no-contact-school-until-march-30/ ...all public and private schools closed on 20200320 https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-008.pdf, extended to end of the school year. Alaska Smart Start 2020 framework released on 20200520 and updated document on 20200727. Framework details how school districts can choose to reopen and provides guidance for those determined as low, medium and high risk environments https://education.alaska.gov/news/COVID-19/Alaska%20Smart%20Start%202020%20Framework%20Guidance.pdf.  Grants local districts the authority to determine whether to operate in-person, online, or a hybrid contingent on the school district's assessment of the risk level, ending the SchoolClose: https://education.alaska.gov/news/COVID-19/Alaska%20Smart%20Start%202020%20Framework%20Guidance.pdf",https://gov.alaska.gov/home/covid19-healthmandates/,20200818,Updated DateEnded and PolicyNotes
524,2,AK,Alaska,OtherBusinessClose,1,1,,,,,,20200316,20200317,,20200424,20200522,,,"All libraries, archives, and museums to be closed March 17-31. Extensions and expansions, including one on 20200409, removed expiry date. 20200422 executive order began easing of restrictions conditional on meeting extensive health safety guidelines https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf",https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,20200524,Updated DateEnded to 20200522
524,2,AK,Alaska,BarRestrict,1,1,,,,,,20200317,20200318,,20200508,20200522,,,"Limited operations required: bars and breweries trucks, self-service dining. Easing as part of Phase II on 20200508. https://covid19.alaska.gov/wp-content/uploads/2020/05/Phased-Reopen-Doc.pdf",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,20200708,
524,2,AK,Alaska,RestaurantRestrict,1,1,,,,,,20200317,20200318,,20200424,20200522,,,"Limited operations required: restaurants, food trucks, self-service dining. Easing began on 20200424 https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,20200708,Removed bars from entry
524,2,AK,Alaska,GathRestrict,1,0,10,10,10,10,,20200320,20200321,,,,,,(quote) no gatherings of more than 10 people may take place (quote). Mandated for Fairbanks North Star Borough and Kethikan Gateway Borough only. No expiry provided.,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,20200804,
524,2,AK,Alaska,StayAtHome,1,0,,,,,,20200320,20200322,20200401,,,,,"Only applicable to Anchorage. Enacted at 10 pm on 20200322, was effectively replaced by the statewide StayAtHome order on 20200328. Expired on 20200401 since order was through 1159pm https://www.muni.org/departments/mayor/pressreleases/documents/eo-03.pdf ",https://www.muni.org/departments/mayor/pressreleases/documents/eo-03.pdf,20200623,"Updated DateExpiry, old date was 20200331, but was in effect through 1159 pm so recoded to 20200401"
524,2,AK,Alaska,GathRestrict,1,1,10,10,10,10,,20200323,20200324,,20200424,,,,"Issued 20200323, in effect on 20200324. Eased on 20200424 with new mandate that bans gathering no more than 20.",https://gov.alaska.gov/home/covid19-healthmandates/,20200805,"Removed DateEnded, Added DateEased of 20200424"
524,2,AK,Alaska,OtherBusinessClose,1,1,,,,,,20200323,20200324,,20200424,20200522,,,"Closure required: hair salons, day spas, nail salons, barber shops, tattoo shops, body piercings, massage therapy, tanning. 20200409 update removed expiry of 20200421. Limited operations allowed starting 20200424 conditional on meeting health and safety mandates: https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf  Eased for indoor entertainment centers on 20200508 and for gyms and fitness centers on 20200507. ",https://gov.alaska.gov/home/covid19-healthmandates/,20200524,Updated DateEnded to 20200522
524,2,AK,Alaska,Quarantine,1,1,,,,,,20200323,20200325,,,,,,Mandates 14 day quarantine for all people arriving in Alaska from anywhere else. A 20200424 health order extends this without any expiry https://covid19.alaska.gov/wp-content/uploads/2020/04/0425-COVID-MANDATE-016-ALL.pdf  A 20200601 health order extends it to 20200606 https://covid19.alaska.gov/wp-content/uploads/2020/06/06012020-COVID-MANDATE-010.pdf. The order is extended and amended on 20200811 https://covid19.alaska.gov/wp-content/uploads/2020/08/08062020-COVID-MANDATE-010-REVISED.pdf,https://gov.alaska.gov/home/covid19-healthmandates/,20200808,DateExpiry was not 20200606 so I deleted that.
