location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,StateWide,Curfew,CurfewStart,CurfewEnd,InGathLim,OutGathLim,InGathLimReligious,OutGathLimReligious,BusinessRestrictLevel,SchoolRestrictLevel,PublicMaskLevel,DateIssued,DateEnacted,DateExpiry,DateEased,DateEnded,DateReexpanded1,DateReeased1,PolicyCodingNotes,PolicySource,LastUpdated,LastUpdatedNotes,ReReviewed
523,1,AL,Alabama,EmergDec,1,1,0,,,,,,,,,,20200313,20200313,20210308,,,,,"Public Health Emergency declared. On 20200702, extends public health emergency by an additional 60 days from July 11, so until September 9, 2020: https://governor.alabama.gov/assets/2020/07/2020-07-02-13th-Supplemental-SOE-COVID-19.pdf Extended to 20201108 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20210107: https://governor.alabama.gov/assets/2020/11/2020-11-05-19th-Supplemental-SOE-COVID-19.pdf.  Extended ti 20210308 https://governor.alabama.gov/newsroom/2020/12/twentieth-supplemental-state-of-emergency-coronavirus-covid-19/",https://governor.alabama.gov/newsroom/2020/03/third-supplemental-state-of-emergency-coronavirus-covid-19/,20201211,Updated DateExpiry to 20210308 and PolicyCodingNotes,0
523,1,AL,Alabama,SchoolClose,1,1,0,,,,,,,,,,20200314,20200318,20200831,20200601,20200626,,,In effect 20200318. 20200319 issuance also closed all public/private schools (20200314 is public school only): https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf,http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,20200819,Added DateEnded,0
523,1,AL,Alabama,GathRestrict,1,0,0,,,25,25,25,25,,,,20200317,20200317,,,,,,"Public health order for prohibiting gathering restrictions of 25 or more in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,20200804,,0
523,1,AL,Alabama,BarRestrict,1,1,0,,,,,,,,,,20200319,20200319,20210122,20200511,,,,Limited operations required: bars and breweries. In effect at 5 pm on 20200319. Extension to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf. Began easing of restrictions on 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20201108 https://governor.alabama.gov/assets/2020/09/2020-09-30-18th-Supplemental-SOE-COVID-19-1.pdf. Extended to 20201211: https://governor.alabama.gov/assets/2020/11/2020-11-05-19th-Supplemental-SOE-COVID-19.pdf. Extended to 20210122 https://governor.alabama.gov/newsroom/2020/12/twentieth-supplemental-state-of-emergency-coronavirus-covid-19/ https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-120920.pdf,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20201211,Updated DateExpiry to 20200122 and PolicyCodingNotes,0
523,1,AL,Alabama,GathRestrict,1,1,0,,,25,25,25,25,,,,20200319,20200319,,,,,,"In effect as of 5 pm 20200319. On 20200320, amendment was made to clarify that it was all non-work gatherings of 25 or more: http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf",https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20200803,Updated entry to new gathering system and added numeric variables,0
523,1,AL,Alabama,OtherBusinessClose,1,1,0,,,,,,,,,,20200319,20200319,20210122,20200430,,,,All beaches close effective at 5 pm 20200319. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20201108 https://governor.alabama.gov/assets/2020/09/2020-09-30-18th-Supplemental-SOE-COVID-19-1.pdf. Extended to 20201211: https://governor.alabama.gov/assets/2020/11/2020-11-05-19th-Supplemental-SOE-COVID-19.pdf.  Extended to 20210122 https://governor.alabama.gov/newsroom/2020/12/twentieth-supplemental-state-of-emergency-coronavirus-covid-19/ https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-120920.pdf,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20201211,Updated DateExpiry to 20200122 and PolicyCodingNotes,0
523,1,AL,Alabama,RestaurantRestrict,1,1,0,,,,,,,,,,20200319,20200319,20210122,20200511,,,,Limited operations required: restaurants In effect at 5 pm on 20200319. Extension to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf. Began easing of restrictions on 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/ Extended to 20201108 https://governor.alabama.gov/assets/2020/09/2020-09-30-18th-Supplemental-SOE-COVID-19-1.pdf. Extended to 20201211: https://governor.alabama.gov/assets/2020/11/2020-11-05-19th-Supplemental-SOE-COVID-19.pdf.  Extended to 20210122 https://governor.alabama.gov/newsroom/2020/12/twentieth-supplemental-state-of-emergency-coronavirus-covid-19/ https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-120920.pdf,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20201211,Updated DateExpiry to 20200122 and PolicyCodingNotes,0
523,1,AL,Alabama,GathRestrict,1,1,0,,,10,10,10,10,,,,20200327,20200328,20200522,20200511,,,,Expands restriction gathering to 10 or more people being prohibited. Eased to any gathering restriction starting 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,20200803,Updated entry to new gathering system and added numeric variables,0
523,1,AL,Alabama,OtherBusinessClose,1,1,0,,,,,,,,,,20200327,20200328,20210122,20200430,,,,"Non-essential business categories closed included entertainment venues, retail shops, personal care services, and athletic faciltiies. Not considered full NEBusinessClose yet due to only listing of additional types of businsess to close. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20201108 https://governor.alabama.gov/assets/2020/09/2020-09-30-18th-Supplemental-SOE-COVID-19-1.pdf. Extended to 20201211: https://governor.alabama.gov/assets/2020/11/2020-11-05-19th-Supplemental-SOE-COVID-19.pdf.  Extended to 20210122 https://governor.alabama.gov/newsroom/2020/12/twentieth-supplemental-state-of-emergency-coronavirus-covid-19/ https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-120920.pdf",https://www.alabamapublichealth.gov/news/2020/03/27.html,20201211,Updated DateExpiry to 20200122 and PolicyCodingNotes,0
523,1,AL,Alabama,CaseIsolation,1,1,0,,,,,,,,,,20200403,20200404,20210122,,,,,"Anyone who tests positive for COVID-19 shall be quarantined in their place of residence for a period of 14 days, or other period of time as directed by the State Health Officer, after receiving positive results. Extended to 20200515 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Extended to 20201002 https://governor.alabama.gov/newsroom/2020/08/seventeenth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20201108 https://governor.alabama.gov/assets/2020/09/2020-09-30-18th-Supplemental-SOE-COVID-19-1.pdf. Extended to 20201211: https://governor.alabama.gov/assets/2020/11/2020-11-05-19th-Supplemental-SOE-COVID-19.pdf.  Extended to 20210122 https://governor.alabama.gov/newsroom/2020/12/twentieth-supplemental-state-of-emergency-coronavirus-covid-19/ https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-120920.pdf",https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,20201211,Updated DateExpiry to 20200122 and PolicyCodingNotes,0
