location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,StateWide,Curfew,CurfewStart,CurfewEnd,VaccineExempt,InGathLim,OutGathLim,InGathLimReligious,OutGathLimReligious,BusinessRestrictLevel,SchoolRestrictLevel,PublicMaskLevel,DateIssued,DateEnacted,DateExpiry,DateEased,DateEnded,DateReexpanded1,DateReeased1,PolicyCodingNotes,PolicySource,LastUpdated,LastUpdatedNotes,ReReviewed
523,1,AL,Alabama,EmergDec,1,1,0,,,,,,,,,,,20200313,20200313,20210507,,,,,"Public Health Emergency declared, in effect for 60 days (i.e., to 20200512). Extended to 20210308: https://governor.alabama.gov/newsroom/2020/12/twentieth-supplemental-state-of-emergency-coronavirus-covid-19/. Extended to 20210507: https://governor.alabama.gov/assets/2021/03/2021-03-04-23rd-Supplemental-SOE-COVID-19.pdf",https://governor.alabama.gov/newsroom/2020/03/third-supplemental-state-of-emergency-coronavirus-covid-19/,20210309,Updated DateExpiry and PolicyCodingNotes,1
523,1,AL,Alabama,SchoolClose,1,1,0,,,,,,,,,NoInPerson,,20200313,20200319,20200703,,20200601,,,"Issued orally on 20200313, this requires the closure of all K-12 public schools at the end of day 20200318 (coded to 20200319 when enacted), with re-opening on 20200406 should circumstances permit        https://governor.alabama.gov/assets/2020/03/2020-03-18-1st-Supplemental-COVID-19-SOE.pdf On 20200320, all public and private schools (elementary, secondary, postsecondary, technical, colleges and universities) must close for in-person instruction: https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf Starting on 20200601, state-level restrictions end, now allowing schools re-open as long as reasonable efforts are taken to maintain at least 6 ft distancing: https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-052120.pdf",http://alabamapublichealth.gov/legal/assets/420-4-1.13-er.pdf,20210109,Updated full entry,1
523,1,AL,Alabama,BarRestrict,1,0,0,,,,,,,,TakeawayOnly,,,20200317,20200317,20200324,,,,,"Public health order prohibits on-premises consumption at bars and breweries for one week at 20200317, but take-out and delivery permitted. Only applicable in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties ",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,20210128,Updated BusinessRestrictLevel (was TakewayOnly),1
523,1,AL,Alabama,GathRestrict,1,0,0,,,,25,25,25,25,,,,20200317,20200317,,,,,,"Public health order for prohibiting gathering restrictions of 25 or more in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties. In effect for the duration of the public health emergency",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,20210109,Updated PolicyCodingNotes,1
523,1,AL,Alabama,RestaurantRestrict,1,0,0,,,,,,,,TakeawayOnly,,,20200317,20200317,20200324,,,,,"Public health order prohibits on-premises consumption of food or drink in restaurants for one week at 20200317, but take-out and delivery permitted. Only applicable in Blount, Saint Clair, Shelby, Tuscaloosa, and Walker Counties ",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,20210109,,1
523,1,AL,Alabama,BarRestrict,1,1,0,,,,,,,,TakeawayOnly,,,20200319,20200319,20200515,20200511,,,,"No on-premises consumption of food or drink at bars, and breweries. Take-out, delivery, curbside pickup all permitted if social distancing protocols are followed. Expands to statewide bar restrictions. Eased on 20200511: https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,20210109,Updated full entry,1
523,1,AL,Alabama,GathRestrict,1,1,0,,,,25,25,25,25,,,,20200319,20200319,20200406,,,,,Expands public health order to limit gatherings to no more than 25 to be statewide,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,20210109,Added DateExpiry and updated PolicyCodingNotes,1
523,1,AL,Alabama,OtherBusinessClose,1,1,0,,,,,,,,FullClose,,,20200319,20200319,20200515,20200430,,,,All beaches close effective at 5 pm 20200319. Extended to 20200831 https://governor.alabama.gov/assets/2020/07/2020-07-29-15th-Supplemental-SOE-COVID-19.pdf Eased to permit re-opening on 20200430: https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,20210109,Updated full entry,1
523,1,AL,Alabama,RestaurantRestrict,1,1,0,,,,,,,,TakeawayOnly,,,20200319,20200319,20200515,20200511,,,,"No on-premises consumption of food or drink permitted in restaurants. Take-out, delivery, curbside pickup all permitted if social distancing protocols are followed. Expands to statewide restaurant restrictions. Eases on 20200511: https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031920.pdf,20210109,Updated full entry,1
523,1,AL,Alabama,GathRestrict,1,1,0,,,,10,10,10,10,,,,20200327,20200328,20200515,20200511,,,,Expands restriction gathering to 10 or more people being prohibited. Eased to any gathering restriction starting 20200511 https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,http://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-032720.pdf,20210109,Updated DateExpiry,1
